song_id,sheet,artist,title,duration_sec,key,tempo_bpm,release_date,has_chords,n_sections,release_year,total_measures,borrowed_ratio,unmatched_ratio,rest_ratio,chord_change_rate,key_mismatch_suspect,mode_major,mode_minor,gen_3.5세대,gen_3세대,gen_4세대,grp_걸그룹,grp_보이그룹,duration_sec_scaled,tempo_bpm_scaled,n_sections_scaled,total_measures_scaled,borrowed_ratio_scaled,unmatched_ratio_scaled,rest_ratio_scaled,chord_change_rate_scaled
3세대 보이그룹::0069,3세대 보이그룹,워너원,활활,215.0,Em,128.0,2017-08-07,True,7,2017,56.0,0.0,0.0,0.0,0.6545454545454545,False,False,True,False,True,False,False,True,0.96707470847282,0.3801073546515341,0.1980397037391327,0.3809112922957677,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-0.1920208016671352
3세대 걸그룹::0040,3세대 걸그룹,여자친구,여름비,200.0,Gb,105.0,2017-09-13,True,11,2017,88.0,0.25,0.056818181818181816,0.0,0.7931034482758621,False,True,False,False,True,False,True,False,0.27675329189499936,-0.7510903524291145,2.8505714932147908,2.996255621534283,1.096572548254498,0.5434185299235251,-0.17569083961954554,0.3840120691441999
3세대 걸그룹::0054,3세대 걸그룹,트와이스,LIKEY,208.0,Em,132.0,2017-10-30,True,7,2017,56.0,0.03571428571428571,0.0,0.0,0.9454545454545454,False,False,True,False,True,False,True,False,0.644924714069837,0.57683739066556,0.1980397037391327,0.3809112922957677,-0.6748607348029848,-0.3927941357821456,-0.17569083961954554,1.017387578678835
3세대 걸그룹::0131,3세대 걸그룹,EXID,덜덜덜,207.0,Em,115.0,2017-11-07,True,6,2017,48.0,0.0,0.0,0.0,0.3404255319148936,False,False,True,False,True,False,True,False,0.5989032862979823,-0.25926526239404984,-0.46509324362978177,-0.27292479001386105,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-1.4979245315087946
3세대 보이그룹::0070,3세대 보이그룹,워너원,Beautiful,216.0,C,80.0,2017-11-13,True,7,2017,44.0,0.3181818181818182,0.0,0.0,1.0,False,True,False,False,True,False,False,True,1.0130961362446746,-1.9806530775167759,0.1980397037391327,-0.5998428311686754,1.6602104110455151,-0.3927941357821456,-0.17569083961954554,1.2441516499937044
3세대 걸그룹::0055,3세대 걸그룹,트와이스,Heart Shaker,187.0,Ab,164.0,2017-12-11,True,7,2017,56.0,0.05357142857142857,0.0,0.0,0.6727272727272727,False,True,False,False,True,False,True,False,-0.3215252691391118,2.150677678777767,0.1980397037391327,0.3809112922957677,-0.5272412945481946,-0.3927941357821456,-0.17569083961954554,-0.11643277789551203
3세대 걸그룹::0026,3세대 걸그룹,오마이걸,비밀정원,243.0,G,105.0,2018-01-09,True,7,2018,46.0,0.13043478260869565,0.0,0.0,0.9333333333333333,False,True,False,False,True,False,True,False,2.2556746860847516,-0.7510903524291145,0.1980397037391327,-0.43638381059126824,0.10816412220068508,-0.3927941357821456,-0.17569083961954554,0.9669955628310863
3세대 걸그룹::0134,3세대 걸그룹,청하,Roller Coaster,212.0,A,130.0,2018-01-17,True,6,2018,48.0,0.08333333333333333,0.0,0.0,0.851063829787234,False,True,False,False,True,False,True,False,0.8290104251572559,0.47847237265854703,-0.46509324362978177,-0.27292479001386105,-0.2812088941235442,-0.3927941357821456,-0.17569083961954554,0.6249731573963659
3세대 보이그룹::0071,3세대 보이그룹,워너원,BOOMERANG,183.0,Cm,100.0,2018-03-19,True,6,2018,44.0,0.0,0.0,0.0,0.3488372093023256,False,False,True,False,True,False,False,True,-0.5056109802265306,-0.9970028974466467,-0.46509324362978177,-0.5998428311686754,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,-1.4629543176411706
3세대 보이그룹::0072,3세대 보이그룹,워너원,약속해요,220.0,Fm,130.0,2018-03-19,True,7,2018,56.0,0.0,0.0,0.0,0.8,False,False,True,False,True,False,False,True,1.1971818473320934,0.47847237265854703,0.1980397037391327,0.3809112922957677,-0.9700996153125653,-0.3927941357821456,-0.17569083961954554,0.41268338850585007
